,F1,F1,P,P,R,R
eval,diac,nodiac,diac,nodiac,diac,nodiac
run,,,,,,
m_diac,0.8636,0.822,0.8574,0.8214,0.8698,0.8225
m_nodiac,0.8573,0.8648,0.8537,0.8572,0.8609,0.8726
ro_diac,0.8677,0.8601,0.8565,0.8481,0.8793,0.8724
ro_nodiac,0.8725,0.8721,0.8653,0.8674,0.8799,0.8768
