,mBERT,XLM-R,mT5,RemBERT,RO-BERT,RoBERT
mBERT,0.9999999999999999,0.27875809847032124,0.2822834977898431,0.3216211497948205,0.26971476707486375,0.2833016889416843
XLM-R,0.2787580984703213,0.9999999999999999,0.27605247153870816,0.35167268071236063,0.32019140830764586,0.3127859861380342
mT5,0.2822834977898431,0.27605247153870816,0.9999999999999999,0.32832079441818185,0.31191007690836287,0.33687046785126057
RemBERT,0.32162114979482054,0.3516726807123606,0.3283207944181818,0.9999999999999999,0.3173858497097941,0.3595813513383018
RO-BERT,0.26971476707486375,0.32019140830764586,0.31191007690836287,0.31738584970979417,0.9999999999999999,0.5888629160569478
RoBERT,0.2833016889416842,0.3127859861380342,0.3368704678512606,0.3595813513383019,0.5888629160569477,0.9999999999999999
