sent_idx,id,source,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
2,334539,unknown_local_sample,mt5,Multilingual,19,4,40,2.1052631578947367,0,0.2571428571428571,42,2.210526315789474,0,0.2702702702702703,2,0.05
2,334539,unknown_local_sample,rembert,Multilingual,19,4,33,1.736842105263158,0,0.15625,33,1.736842105263158,0,0.15625,0,0.0
2,334539,unknown_local_sample,ro_bert,Monolingual,19,4,29,1.5263157894736843,0,0.1724137931034483,29,1.5263157894736843,0,0.1724137931034483,0,0.0
2,334539,unknown_local_sample,robert,Monolingual,19,4,31,1.631578947368421,0,0.16129032258064516,31,1.631578947368421,0,0.16129032258064516,0,0.0
3,180826,unknown_local_sample,mbert,Multilingual,8,4,15,1.875,0,0.13333333333333333,17,2.125,0,0.23529411764705882,2,0.13333333333333333
3,180826,unknown_local_sample,xlmr,Multilingual,8,4,16,2.0,0,0.25,17,2.125,0,0.23529411764705882,1,0.0625
3,180826,unknown_local_sample,mt5,Multilingual,8,4,16,2.0,0,0.21428571428571427,17,2.125,0,0.1875,1,0.0625
3,180826,unknown_local_sample,rembert,Multilingual,8,4,15,1.875,0,0.2,16,2.0,0,0.25,1,0.06666666666666667
3,180826,unknown_local_sample,ro_bert,Monolingual,8,4,14,1.75,0,0.14285714285714285,13,1.625,0,0.15384615384615385,-1,-0.07142857142857142
3,180826,unknown_local_sample,robert,Monolingual,8,4,15,1.875,0,0.26666666666666666,14,1.75,0,0.21428571428571427,-1,-0.06666666666666667
4,353212,unknown_local_sample,mbert,Multilingual,13,6,31,2.3846153846153846,0,0.22580645161290322,34,2.6153846153846154,0,0.29411764705882354,3,0.0967741935483871
4,353212,unknown_local_sample,xlmr,Multilingual,13,6,28,2.1538461538461537,0,0.21428571428571427,30,2.3076923076923075,0,0.23333333333333334,2,0.07142857142857142
4,353212,unknown_local_sample,mt5,Multilingual,13,6,30,2.3076923076923075,0,0.32142857142857145,31,2.3846153846153846,0,0.2,1,0.03333333333333333
4,353212,unknown_local_sample,rembert,Multilingual,13,6,28,2.1538461538461537,0,0.21428571428571427,29,2.230769230769231,0,0.2413793103448276,1,0.03571428571428571
4,353212,unknown_local_sample,ro_bert,Monolingual,13,6,25,1.9230769230769231,0,0.16,26,2.0,0,0.15384615384615385,1,0.04
4,353212,unknown_local_sample,robert,Monolingual,13,6,25,1.9230769230769231,0,0.16,28,2.1538461538461537,0,0.17857142857142858,3,0.12
5,17015,unknown_local_sample,mbert,Multilingual,96,33,188,1.9583333333333333,0,0.13829787234042554,198,2.0625,0,0.1919191919191919,10,0.05319148936170213
5,17015,unknown_local_sample,xlmr,Multilingual,96,33,159,1.65625,0,0.14465408805031446,164,1.7083333333333333,0,0.17682926829268292,5,0.031446540880503145
