Model,Family,Anchor sim mean,Anchor sim std,Anchor sim min,Mean-pool sim,Focus-word dist,Pearson r (density),Layer of min sim,Encoder layers
mBERT,Multilingual,0.9566921236331941,0.11926763047018772,-0.12217621505260468,0.89674366355951,0.46686192353566486,-0.20467579351289902,12,12
XLM-R,Multilingual,0.9992387670632912,0.0010102104746092585,0.942913830280304,0.998919658746095,0.011437065071529813,-0.034540117837598576,12,12
mT5,Multilingual,0.8484062987210305,0.251721525012503,-0.24603432416915894,0.8945575508385883,0.6050387356016371,0.06791108858003378,12,12
RemBERT,Multilingual,0.9552584385465763,0.0648458748703896,0.19074106216430664,0.8824086663678398,0.39929324719640946,0.05817894131599667,32,32
RO-BERT,Monolingual,0.9205259784601547,0.03453026921894651,0.6445707678794861,0.9085202461639031,0.4999108612537384,-0.08720396927111936,12,12
RoBERT,Monolingual,0.9272929782181003,0.030198696600029717,0.7341731786727905,0.9323675592727104,0.3654363751411438,-0.0981795054352798,12,12
