mBERT,XLM-R,RO-BERT,RoBERT
0.9999999403953552,0.9999995827674866,0.9999998807907104,1.0
0.9996513211727143,0.9999737000465393,0.9998259651660919,0.9996299600601196
0.9999227678775787,0.9999945783615112,0.9992822146415711,0.9995512819290161
0.9999488174915314,0.9999969828128815,0.9993634998798371,0.9977350878715515
0.9998486077785492,0.999997410774231,0.9977577197551727,0.9967117917537689
0.9845300889015198,0.9999925518035888,0.9924878692626953,0.988724455833435
0.9782580387592316,0.9999995803833008,0.9912526261806488,0.9874148917198181
0.972266092300415,0.9999993062019348,0.9888636875152588,0.9726915287971497
0.9631907343864441,0.9999995982646942,0.9854884898662567,0.9678878819942475
0.9665454518795014,0.9999996638298034,0.9831907975673676,0.9719974434375763
0.9627561032772064,0.9999965691566467,0.9773719620704651,0.9765895891189575
0.9648223972320557,0.9999813973903656,0.9657374548912049,0.9695390045642853
0.9479315659403801,0.9992837595939636,0.9212391936779022,0.9257137084007263
